name,metier,phone,ville,departement,region,region_label,rating,reviews,hours_status,is_open_now,address,maps_url,siret,created_at,age_years,legal_status,naf_code
TYSEC,plombier,06 58 58 74 06,Vierzon,Cher,centre,Centre-Val de Loire,"4,9",34,Ouvre à 07:00 ven.,non,,https://www.google.com/maps/place/TYSEC/data=!4m7!3m6!1s0x47fadb500e54197d:0x46802a76ce5ad2f3!8m2!3d47.6439675!4d1.5907082!16s%2Fg%2F11g4dhxczf!19sChIJfRlUDlDb-kcR89JaznYqgEY?authuser=0&hl=fr&rclk=1,84077608200017,2018-07-01,7,actif,43.22A
Concept' Plomberie,plombier,06 47 70 18 53,Bourges,Cher,centre,Centre-Val de Loire,"4,9",32,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/Concept%27+Plomberie/data=!4m7!3m6!1s0x47faed84ade0ffff:0x71c70037a3703534!8m2!3d46.9931502!4d2.2454845!16s%2Fg%2F11g0hnyvvf!19sChIJ___grYTt-kcRNDVwozcAx3E?authuser=0&hl=fr&rclk=1,49808711300029,2007-05-15,19,actif,43.22A
Aqua-Ty,plombier,06 18 14 13 48,Bourges,Cher,centre,Centre-Val de Loire,"5,0",25,Ouvre à 08:00 ven.,non,31 Rue du Gué,https://www.google.com/maps/place/Aqua-Ty/data=!4m7!3m6!1s0x47fa970845e7d4e7:0xaff5de45ce158a9e!8m2!3d47.0391347!4d2.4357418!16s%2Fg%2F11mnlhl9h8!19sChIJ59TnRQiX-kcRnooVzkXe9a8?authuser=0&hl=fr&rclk=1,44080736000050,2002-02-07,24,actif,45.20A
Mouroux Louis,plombier,02 54 34 08 84,Chateauroux,Indre,centre,Centre-Val de Loire,"4,4",24,Ouvre à 07:30 ven.,non,27 Rue Diderot,https://www.google.com/maps/place/Mouroux+Louis/data=!4m7!3m6!1s0x47fba1567ec2ce9d:0x7b8f1ee3cd3eac76!8m2!3d46.8102679!4d1.6921991!16s%2Fg%2F11f5kh8kpv!19sChIJnc7Cflah-0cRdqw-zeMej3s?authuser=0&hl=fr&rclk=1,37688015900011,1976-12-25,49,C,57.07
Ancelot-Lepolard,plombier,02 48 21 34 01,Bourges,Cher,centre,Centre-Val de Loire,"4,7",20,,non,,https://www.google.com/maps/place/Ancelot-Lepolard/data=!4m7!3m6!1s0x47fabe3193f6d053:0xc41570711ed80f27!8m2!3d47.123043!4d2.3605857!16s%2Fg%2F11f4ld_4_b!19sChIJU9D2kzG--kcRJw_YHnFwFcQ?authuser=0&hl=fr&rclk=1,50211391300037,2008-01-21,18,actif,43.21A
Turquin Anthony,plombier,02 54 21 88 66,Issoudun,Indre,centre,Centre-Val de Loire,"4,2",20,Ouvre à 08:30 ven.,non,,https://www.google.com/maps/place/Turquin+Anthony/data=!4m7!3m6!1s0x47fafd21e6859bbf:0xbf80e2178362d9c5!8m2!3d46.952036!4d2.0021!16s%2Fg%2F1vpprwvg!19sChIJv5uF5iH9-kcRxdligxfigL8?authuser=0&hl=fr&rclk=1,42409463900038,1999-07-01,26,actif,43.22B
Drouet Noel,plombier,02 54 22 02 36,Chateauroux,Indre,centre,Centre-Val de Loire,"4,6",19,Ouvre à 08:30 ven.,non,,https://www.google.com/maps/place/Drouet+Noel/data=!4m7!3m6!1s0x47fba0ae35743097:0xb93486c5773b7007!8m2!3d46.8042088!4d1.695611!16s%2Fg%2F1tdplfpf!19sChIJlzB0Na6g-0cRB3A7d8WGNLk?authuser=0&hl=fr&rclk=1,30953315600027,1977-01-01,49,actif,43.22B
ML Plomberie,plombier,06 11 20 52 02,Vierzon,Cher,centre,Centre-Val de Loire,"5,0",16,Ouvre à 08:30 ven.,non,,https://www.google.com/maps/place/ML+Plomberie/data=!4m7!3m6!1s0x8e4fa388986772eb:0x2b50ed56954ece02!8m2!3d47.1967685!4d2.081681!16s%2Fg%2F11vx5fh78p!19sChIJ63JnmIijT44RAs5OlVbtUCs?authuser=0&hl=fr&rclk=1,97828860300019,2023-09-01,2,actif,43.22A
Atelier Borderieux,plombier,02 48 70 46 90,Bourges,Cher,centre,Centre-Val de Loire,"4,8",16,Ouvre à 09:00 ven.,non,,https://www.google.com/maps/place/Atelier+Borderieux/data=!4m7!3m6!1s0x47fa95dc76467af5:0x384d60326e37d2c4!8m2!3d47.0826462!4d2.4129868!16s%2Fg%2F1tg6jxlz!19sChIJ9XpGdtyV-kcRxNI3bjJgTTg?authuser=0&hl=fr&rclk=1,49253609900012,2006-10-20,19,actif,43.32A
SAS BERRY PLOMBERIE,plombier,06 27 11 72 61,Bourges,Cher,centre,Centre-Val de Loire,"4,4",14,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/SAS+BERRY+PLOMBERIE/data=!4m7!3m6!1s0x47fac33e933c9951:0xfc660728cc594c23!8m2!3d47.2768568!4d0.6923829!16s%2Fg%2F11q265dvwk!19sChIJUZk8kz7D-kcRI0xZzCgHZvw?authuser=0&hl=fr&rclk=1,85045577500013,2019-05-03,7,actif,68.20B
