name,metier,phone,ville,departement,region,region_label,rating,reviews,hours_status,is_open_now,address,maps_url,siret,created_at,age_years,legal_status,naf_code
Pépinières De La Madeleine,paysagiste,05 65 14 07 88,Faycelles,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"4,4",51,,non,46100 Faycelles,"https://www.google.com/maps/place/P%C3%A9pini%C3%A8res+De+La+Madeleine/@44.6093755,-2.582018,7z/data=!4m10!1m2!2m1!1spaysagiste+Figeac!3m6!1s0x12ad104d13c1a12f:0xf792fea72c2533d2!8m2!3d44.5649584!4d2.0266685!15sChFwYXlzYWdpc3RlIEZpZ2VhY1oTIhFwYXlzYWdpc3RlIGZpZ2VhY5IBCXRyZWVfZmFybZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeFpkRkpGV2xKaGJYUm1aRlpvU1ZZeWRIVmhWa0UwWkVkT1ZVeFlZeEFC4AEA-gEECCIQHQ!16s%2Fg%2F1v86gw55?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",84992133300019,2019-04-10,7,actif,47.76Z
Ouillades Jean-Claude,paysagiste,05 65 34 74 13,Figeac,Lot,occitanie-rurale,Lot / Aveyron / Lozère,,,,non,"L'Aiguille, 46100 Figeac","https://www.google.com/maps/place/Ouillades+Jean-Claude/@44.6093755,-2.582018,7z/data=!4m10!1m2!2m1!1spaysagiste+Figeac!3m6!1s0x12ad113ad4bb1a6f:0xa19052f50cecb202!8m2!3d44.5959292!4d2.0371013!15sChFwYXlzYWdpc3RlIEZpZ2VhY5IBEmxhbmRzY2FwZV9kZXNpZ25lcuABAA!16s%2Fg%2F1wfp5yg1?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",44760760700010,2003-04-02,23,C,81.30Z
Huline elec'renov,electricien,06 56 66 39 03,,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",11,Ouvert · Ferme à 19:00,oui,,"https://www.google.com/maps/place/Huline+elec'renov/@43.5914749,-1.2102003,7z/data=!4m10!1m2!2m1!1selectricien+Aveyron!3m6!1s0x82dad131639e09bd:0x3bbcbb73dbffdc35!8m2!3d43.5914749!4d3.4040575!15sChNlbGVjdHJpY2llbiBBdmV5cm9uWhUiE2VsZWN0cmljaWVuIGF2ZXlyb26SAQtlbGVjdHJpY2lhbpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQya3hVbFp0Vm05Wk1FMTVZekJHVUZkRk9XMVJNVGxNVTJ0a1NFMUdSUkFC4AEA-gEECAAQNA!16s%2Fg%2F11yknvb_h0?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",94778202500029,2023-01-02,3,actif,43.21A
Aveyron Elec Concept,electricien,05 65 63 52 24,Aubin,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"4,6",10,,non,"9 Côte de Ruau, 12110 Aubin","https://www.google.com/maps/place/Aveyron+Elec+Concept/@44.5470585,-2.317009,7z/data=!4m10!1m2!2m1!1selectricien+Aveyron!3m6!1s0x12ad6f921cf42bd3:0x4647f6694e46889!8m2!3d44.5470585!4d2.2972488!15sChNlbGVjdHJpY2llbiBBdmV5cm9ukgELZWxlY3RyaWNpYW7gAQA!16s%2Fg%2F1tqks5kp?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",48868143800039,2006-02-21,20,actif,43.21A
COSERVICE ROZIERES,electricien,06 80 06 03 24,Rodez,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"4,5",8,Fermé · Ouvre à 13:30,non,"35 Rue de la Barrière, 12000 Rodez","https://www.google.com/maps/place/COSERVICE+ROZIERES/@44.368411,2.4055343,12z/data=!4m10!1m2!2m1!1selectricien+Rodez!3m6!1s0x12b27d9fa588e9b9:0xf2f11e06f6feee25!8m2!3d44.3468813!4d2.5753654!15sChFlbGVjdHJpY2llbiBSb2RlepIBC2VsZWN0cmljaWFu4AEA!16s%2Fg%2F1tf8hwfz?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",35404019800054,1990-04-03,36,actif,43.39Z
CEGELEC RODEZ ELECTRICITE,electricien,05 65 77 65 28,Le Monastère,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"4,4",7,Ouvert · Ferme à 17:00,oui,"7 Av. du Ségala, 12000 Le Monastère","https://www.google.com/maps/place/CEGELEC+RODEZ+ELECTRICITE/@44.3615969,2.4228362,12z/data=!4m10!1m2!2m1!1selectricien+Rodez!3m6!1s0x12b27d7faadfd513:0x752c2a34e3d913a0!8m2!3d44.3353175!4d2.5760533!15sChFlbGVjdHJpY2llbiBSb2RleloTIhFlbGVjdHJpY2llbiByb2RlepIBC2VsZWN0cmljaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4Q2RWb3lielJPUlRsVlZEQndNbGd3Um1oa1YzUjZUa1phYTFWSVl4QULgAQD6AQQIABBI!16s%2Fg%2F11mw5wy7d6?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",39980081200071,1995-01-26,31,actif,43.21A
Ruthen'Electricité,electricien,07 63 26 21 89,Onet-le-Château,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"4,9",10,Ouvert · Ferme à 20:00,oui,"104 Rte de Sévérac, 12850 Onet-le-Château","https://www.google.com/maps/place/Ruthen'Electricit%C3%A9/@44.3615969,2.4228362,12z/data=!4m10!1m2!2m1!1selectricien+Rodez!3m6!1s0x12b27db36bb91e1d:0x6e06eeb061e66af6!8m2!3d44.3621027!4d2.6021544!15sChFlbGVjdHJpY2llbiBSb2RleloTIhFlbGVjdHJpY2llbiByb2RlepIBC2VsZWN0cmljaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5tY2xCcVFrNTNFQUXgAQD6AQQIdRAb!16s%2Fg%2F11pxlrxb5d?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",88427775700016,2020-06-15,5,actif,43.21A
Tassie Sébastien,electricien,05 65 42 80 34,Rodez,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",3,,non,"résidence Charles peguy, 3 Rue Charles Péguy, 12000 Rodez","https://www.google.com/maps/place/Tassie+S%C3%A9bastien/@44.3615969,2.4228362,12z/data=!4m10!1m2!2m1!1selectricien+Rodez!3m6!1s0x12b27dbac4dfec4b:0x9c766af54b8bad69!8m2!3d44.3440269!4d2.5684289!15sChFlbGVjdHJpY2llbiBSb2RlepIBC2VsZWN0cmljaWFu4AEA!16s%2Fg%2F11b6dp3t_x?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",80010746800020,2014-02-01,12,actif,43.21A
Frayssinous Gil,electricien,06 78 14 95 06,Rodez,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,,,Ouvert · Ferme à 17:30,oui,"4 Chem. de Canac, 12000 Rodez","https://www.google.com/maps/place/Frayssinous+Gil/@44.3615969,2.4228362,12z/data=!4m10!1m2!2m1!1selectricien+Rodez!3m6!1s0x12b27dbcf76826bd:0x4ec608f7ae47d591!8m2!3d44.3624113!4d2.5758617!15sChFlbGVjdHJpY2llbiBSb2RlepIBC2VsZWN0cmljaWFu4AEA!16s%2Fg%2F11b6dp8czf?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",52803752600043,2010-10-26,15,actif,43.21A
Elec +,electricien,06 08 64 33 70,Millau,Aveyron,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",7,,non,"3 Rue des Fleurs, 12100 Millau","https://www.google.com/maps/place/Elec+%2B/@44.0861967,2.9045239,12z/data=!4m10!1m2!2m1!1selectricien+Millau!3m6!1s0x12b24b1044164941:0x9a231f3faf4310b1!8m2!3d44.1038279!4d3.0692014!15sChJlbGVjdHJpY2llbiBNaWxsYXVaFCISZWxlY3RyaWNpZW4gbWlsbGF1kgELZWxlY3RyaWNpYW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjFOVGcyUTFKbkVBReABAPoBBAgAEDE!16s%2Fg%2F11b6dftz3h?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",52808286000024,2010-10-26,15,actif,43.21A
